value standard normalized
0 59534 5.953399999999999
3 107063 10.7063
6 125519 12.5519
9 111100 11.110000000000001
12 146489 14.648900000000001
15 167667 16.7667
18 125696 12.5696
21 82882 8.2882
24 42519 4.2519
27 22796 2.2796
30 8734 0.8734000000000001
33 1 9.999999999999999e-05
36 0 0.0
39 0 0.0
