timing hit miss
0 0.3841059602649007 0.06622516556291391
10 0.17218543046357615 0.059602649006622516
20 0.2980132450331126 0.07947019867549669
30 0.2582781456953642 0.11920529801324503
40 0.6225165562913907 0.19205298013245034
50 1.1986754966887416 0.25165562913907286
60 0.7152317880794702 0.7218543046357616
70 0.8344370860927153 0.8741721854304636
80 0.5496688741721855 2.814569536423841
90 0.8013245033112583 6.125827814569536
100 1.490066225165563 4.251655629139073
110 2.119205298013245 11.582781456953642
120 3.4768211920529803 23.662251655629138
130 7.6490066225165565 24.5364238410596
140 7.728476821192053 16.85430463576159
150 4.6490066225165565 2.185430463576159
160 5.741721854304636 0.3708609271523179
170 8.437086092715232 0.2185430463576159
180 4.403973509933775 0.304635761589404
190 6.735099337748345 0.41721854304635764
200 7.933774834437086 1.0927152317880795
210 6.701986754966887 1.3642384105960266
220 8.3841059602649 0.9403973509933775
230 5.973509933774834 0.7483443708609272
240 7.264900662251655 0.152317880794702
250 3.377483443708609 0.013245033112582781
260 1.390728476821192 0.0
270 0.695364238410596 0.0
280 0.013245033112582781 0.0
